reaction,GO_HKP,DLKcat,MTLKP,TurNup,UniKP
4PEPTtex_reverse_num4,96.29042090558659,,,,
5DGLCNR,130.15983707102805,1.1866,4.0644073,12.992997169494627,3.2749292691771887
5DGLCNt2rpp,23.0,4.6607,1.6069727,34.219730377197266,3.0734277155319725
5DGLCNt2rpp_reverse,23.0,257.8824,1.6069727,34.219730377197266,12.152238088271714
5DGLCNtex_num1,94.81680000000001,,,,
5DGLCNtex_num2,96.29042090558659,,,,
5DGLCNtex_num3,33.2825,,,,
5DGLCNtex_num4,96.29042090558659,,,,
5DGLCNtex_reverse_num1,94.81680000000001,,,,
5DGLCNtex_reverse_num2,96.29042090558659,,,,
5DGLCNtex_reverse_num3,33.2825,,,,
5DGLCNtex_reverse_num4,96.29042090558659,,,,
5DKGR_num1,160.70234805267864,8.2556,21.346954,24.00439453125,7.850236933904516
5DKGR_num2,130.15983707102805,,8.070132,34.779266357421875,5.265135685472943
5DKGR_reverse_num1,160.70234805267864,8.0888,9.065246,15.95155906677246,11.424475857554716
5DKGR_reverse_num2,130.15983707102805,,4.0644016,18.613250732421875,
5DOAN,136.2454183611817,13.3289,1.8322498,7.724186897277832,3.842358408537775
5MTRtex_num1,96.29042090558659,,,,
5MTRtex_num2,96.29042090558659,,,,
5MTRtex_num3,94.81680000000001,,,,
5MTRtex_num4,33.2825,,,,
5MTRtex_reverse_num1,96.29042090558659,,,,
5MTRtex_reverse_num2,96.29042090558659,,,,
5MTRtex_reverse_num3,94.81680000000001,,,,
5MTRtex_reverse_num4,33.2825,,,,
6D6SFK,123.60963225270937,33.9735,,31.38056182861328,2.639431640590787
6D6SPA,121.23861216232467,,,,
A5PISO_num1,151.18324760891227,,,,
A5PISO_num2,152.5584987702834,,,,
A5PISO_reverse_num1,151.18324760891227,,,,
A5PISO_reverse_num2,152.5584987702834,,,,
AACPS1,88.54447098981994,71.8556,,6.619389533996582,6.47591517554057
AACPS2,88.54447098981994,16.381,,6.619389533996582,6.47591517554057
AACPS3,88.54447098981994,13.2082,5.5366206,6.619389533996582,6.47591517554057
AACPS4,88.54447098981994,10.5404,,6.619389533996582,6.47591517554057
AACPS5,88.54447098981994,18.8696,1.8770452,6.425242424011231,29.39165891366132
AACPS6,88.54447098981994,13.5919,1.9625669,6.425242424011231,4.426404866202988
AACPS7,88.54447098981994,18.2509,,6.619389533996582,1.8884335437600968
AACPS8,88.54447098981994,2.6877,,6.619389533996582,7.245558719549327
AACPS9,88.54447098981994,4.8499,1.656475,6.619389533996582,33.66240634310002
AADDGT,121.20698236312833,0.3864,0.3481692,1.5873920917510986,3.0457057983295
AAMYL,207.78250892732828,,,,
AAMYLpp,207.78250892732828,,,,
AB6PGH_num1,197.70251011777788,5.4892,8.138813,16.272146224975586,0.55443644863912
AB6PGH_num2,159.765,0.5701,3.8667903,37.41640472412109,11.925618662439843
AB6PGH_num3,178.50306567333342,2.9083,4.775214,63.9403190612793,11.925618662439843
ABTA_num1,123.77764512125493,159.5296,16.069746,9.956698417663574,7.228125235384933
ABTA_num2,126.3166780801852,12.0603,11.926295,8.200081825256348,4.3269544586335424
ABUTD,143.25976446138526,1.2863,17.343355,19.40299224853516,5.871081732760222
ABUTt2pp,27.0,22.4946,23.428188,20.63138771057129,0.361033711661598
ABUTtex_num1,96.29042090558659,,,,
ABUTtex_num2,33.2825,,,,
ABUTtex_num3,94.81680000000001,,,,
ABUTtex_num4,96.29042090558659,,,,
ABUTtex_reverse_num1,96.29042090558659,,,,
ABUTtex_reverse_num2,33.2825,,,,
ABUTtex_reverse_num3,94.81680000000001,,,,
ABUTtex_reverse_num4,96.29042090558659,,,,
ACACCT_num1,121.20698236312833,41.116,1.3027978,18.165882110595703,16.10528181133384
ACACCT_num2,123.60963225270937,2.4864,2.6782768,15.8236083984375,180.06711306374774
ACACT1r_num1,155.2551722501099,,,,
ACACT1r_num2,121.175352563932,,,,
ACACT1r_num3,121.175352563932,,,,
ACACT1r_reverse_num1,155.2551722501099,9.9515,2.284625,2.023359775543213,5.265135685472943
ACACT1r_reverse_num2,121.175352563932,,16.836685,1.509984254837036,8.135649937618254
ACACT1r_reverse_num3,121.175352563932,,2.2683322,1.8719842433929443,10.400376497266745
ACACT2r_num1,155.2551722501099,19.1235,5.3184805,3.562162399291992,8.509523323516037
ACACT2r_num2,121.175352563932,,7.2421074,5.802068710327148,9.92097487648947
ACACT2r_reverse_num1,155.2551722501099,3.6618,2.6131597,5.245456218719482,7.677819618581422
ACACT2r_reverse_num2,121.175352563932,,3.6607997,9.067953109741213,9.685838815944882
ACACT3r_reverse_num1,155.2551722501099,17.1643,2.3364651,2.279223680496216,2.974249578668444
ACACT3r_reverse_num2,121.175352563932,,4.157758,2.1724231243133545,20.83005914936328
ACACT4r_reverse_num1,155.2551722501099,15.0543,1.3506659,3.669797897338867,3.653492800559781
ACACT4r_reverse_num2,121.175352563932,,2.3038492,5.1507344245910645,20.83005914936328
ACACT5r_reverse_num1,121.175352563932,1.299,1.0911344,1.6130950450897217,10.774476818781936
ACACT5r_reverse_num2,155.2551722501099,,0.7303978,1.9064096212387085,8.645785370246568
ACACT6r_reverse_num1,155.2551722501099,0.7758,0.8670664,5.40395450592041,3.0297260737279874
ACACT6r_reverse_num2,121.175352563932,,1.7400724,7.146310329437256,8.645785370246568
ACACT7r_reverse_num1,155.2551722501099,1.4265,0.6550164,4.656606197357178,27.27692629593403
ACACT7r_reverse_num2,121.175352563932,,1.0609072,5.977386474609375,9.92097487648947
ACACT8r_num1,155.2551722501099,15.8865,0.75112265,4.520028114318848,10.397610637812583
ACACT8r_num2,121.175352563932,,1.3185936,6.344072818756104,3.5556925393700345
ACACt2pp,23.0,93.3914,7.0292006,25.15697860717773,9.92097487648947
ACACt2pp_reverse,23.0,5.2081,7.0292006,25.15697860717773,10.266892479485463
ACACtex_num1,96.29042090558659,,,,
ACACtex_num2,33.2825,,,,
ACACtex_num3,94.81680000000001,,,,
ACACtex_num4,96.29042090558659,,,,
ACACtex_reverse_num1,96.29042090558659,,,,
ACACtex_reverse_num2,33.2825,,,,
ACACtex_reverse_num3,94.81680000000001,,,,
ACACtex_reverse_num4,96.29042090558659,,,,
ACALD_num1,130.15983707102805,19.6093,11.853232,12.325372695922852,11.424475857554716
ACALD_num2,122.42412220751703,16.9203,40.368023,12.978297233581545,6.41530114666154
ACALD_reverse_num1,130.15983707102805,3.1262,3.1434317,8.672229766845703,9.490631515381825
ACALD_reverse_num2,122.42412220751703,,15.741514,11.869495391845703,7.494230452223806
ACALDtex_num1,96.29042090558659,,,,
ACALDtex_num2,33.2825,,,,
ACALDtex_num3,94.81680000000001,,,,
ACALDtex_num4,96.29042090558659,,,,
ACALDtex_reverse_num1,96.29042090558659,,,,
