species,substrate_id,substrate_name,substrate_bigg_id,substrate_kegg_id,substrate_chebi_id,substrate_metanetx_id,substrate_pubchem_cid,substrate_parent_inchikey_connectivity,structure_standardization_status,prior_role_class,substrate_role_class,substrate_role_group,substrate_role_registry_name,substrate_role_evidence,substrate_role_evidence_types,substrate_role_confidence,registry_structure_consistency,role_class_changed,n_reactions,n_entries
yeast,s_0019,(R)-5-phosphomevalonic acid,5pmev,C01107,CHEBI:58146,MNXM567,,OKZYCXHTTZZYSK,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0021,(R)-carnitine,crn,C00318,CHEBI:16347,MNXM173,10917,PHIQHXFUZVPYII,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,2
yeast,s_0022,(R)-carnitine,crn,C00318,CHEBI:16347,MNXM173,10917,PHIQHXFUZVPYII,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0023,(R)-carnitine,crn,C00318,CHEBI:16347,MNXM173,10917,PHIQHXFUZVPYII,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,2,2
yeast,s_0024,(R)-carnitine,crn,C00318,CHEBI:16347,MNXM173,10917,PHIQHXFUZVPYII,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0025,(R)-lactate,lac__D,C00256,CHEBI:16004,MNXM285,,JVTAAEKCZFNVCJ,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,3,9
yeast,s_0026,(R)-lactate,lac__D,C00256,CHEBI:16004,MNXM285,,JVTAAEKCZFNVCJ,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0027,(R)-lactate,lac__D,C00256,CHEBI:16004,MNXM285,,JVTAAEKCZFNVCJ,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,2
yeast,s_0028,(R)-mevalonate,mev__R,C00418,CHEBI:36464,MNXM333,,KJTLQQUUPVSXIM,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,4,4
yeast,s_0029,(R)-mevalonate,mev__R,C00418,CHEBI:36464,MNXM333,,KJTLQQUUPVSXIM,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,2
yeast,s_0030,(R)-pantoate,pant__R,C00522,CHEBI:15980,MNXM593,,OTOIIPJYVQJATP,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0031,(R)-pantothenate,pnto__R,C00864,CHEBI:29032,MNXM364,,GHOKWGTUZJEAQD,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0032,(R)-pantothenate,pnto__R,C00864,CHEBI:29032,MNXM364,,GHOKWGTUZJEAQD,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0033,(R)-S-lactoylglutathione,lgt__S,C03451,CHEBI:57474,MNXM1253,,VDYDCVUWILIYQF,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0034,(R)-S-lactoylglutathione,lgt__S,C03451,CHEBI:57474,MNXM1253,,VDYDCVUWILIYQF,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0035,"(R,R)-2,3-butanediol",btd_RR,C03044,CHEBI:16982,MNXM2757,,OWBTYPJTUOEWEK,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0037,"(S)-2,3-epoxysqualene",Ssq23epx,C01054,CHEBI:15441,MNXM130,,QYIMSPSDBYKPPY,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0039,(S)-2-acetyl-2-hydroxybutanoate,2ahbut,C06006,CHEBI:49256,MNXM114220,440875,VUQLHQFKACOHNZ,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0042,(R)-3-hydroxydecanoyl-CoA,3hdcoa,C05264,CHEBI:28325,MNXM674,11966158,HIVSMYZAMUNFKZ,ok,carrier_linked_metabolite,carrier_linked_metabolite,carrier_linked_variable,,normalized_name:coa_linked,normalized_name,name_only,not_assessable,False,1,1
yeast,s_0045,(S)-3-hydroxyhexacosanoyl-CoA,,,CHEBI:52976,MNXM31741,,GBMJOTOUUWGTIA,ok,carrier_linked_metabolite,carrier_linked_metabolite,carrier_linked_variable,,normalized_name:coa_linked,normalized_name,name_only,not_assessable,False,1,1
yeast,s_0048,(R)-3-hydroxylauroyl-CoA,3hddcoa,C05262,CHEBI:27668,MNXM733,11966173,IJFLXRCJWPKGKJ,ok,carrier_linked_metabolite,carrier_linked_metabolite,carrier_linked_variable,,normalized_name:coa_linked,normalized_name,name_only,not_assessable,False,1,1
yeast,s_0051,(S)-3-hydroxypalmitoyl-CoA,3hhdcoa,C05258,CHEBI:27402,MNXM825,11966179,DEHLMTDDPWDRDR,ok,carrier_linked_metabolite,carrier_linked_metabolite,carrier_linked_variable,,normalized_name:coa_linked,normalized_name,name_only,not_assessable,False,1,1
yeast,s_0054,(S)-3-hydroxytetradecanoyl-CoA,3htdcoa,C05260,CHEBI:27466,MNXM767,11966177,OXBHKMHNDGRDCZ,ok,carrier_linked_metabolite,carrier_linked_metabolite,carrier_linked_variable,,normalized_name:coa_linked,normalized_name,name_only,not_assessable,False,1,1
yeast,s_0056,(S)-3-methyl-2-oxopentanoate,3mop,C00671,CHEBI:35146,MNXM439,439286,JVQYSWDUAOAHFM,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,4
yeast,s_0061,(S)-dihydroorotate,dhor__S,C00337,CHEBI:30864,MNXM252,,UFIVEPVSAGBUSI,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,2,2
yeast,s_0062,(S)-lactaldehyde,lald__L,C00424,CHEBI:18041,MNXM2387,,BSABBBMNWQWLLU,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0063,(S)-lactate,lac__L,C00186,CHEBI:16651,MNXM179,,JVTAAEKCZFNVCJ,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,3,4
yeast,s_0064,(S)-lactate,lac__L,C00186,CHEBI:16651,MNXM179,,JVTAAEKCZFNVCJ,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0066,(S)-malate,mal__L,C00149,CHEBI:15589,MNXM98,,BJEPYKJPYRNKOW,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,3,4
yeast,s_0068,(S)-malate,mal__L,C00149,CHEBI:15589,MNXM98,,BJEPYKJPYRNKOW,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,4,4
yeast,s_0069,(S)-malate,mal__L,C00149,CHEBI:15589,MNXM98,,BJEPYKJPYRNKOW,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0075,"1,3-bisphospho-D-glycerate",13dpg,C00236,CHEBI:57604,MNXM261,439191,LJQLQCAXBUHEAZ,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,2,2
yeast,s_0076,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,2cpr5p,C01302,CHEBI:58613,MNXM1455,446894,QKMBYNRMPRKVTO,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0077,1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide,prfp,C04896,CHEBI:58435,MNXM1397,,QOUSHGMTBIIAHR,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0078,1-(5-phosphoribosyl)-5'-AMP,prbamp,C02741,CHEBI:59457,MNXM1515,,RTQMRTSPTLIIHM,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0080,1-(sn-glycero-3-phospho)-1D-myo-inositol,g3pi,C01225,CHEBI:58444,MNXM1517,,BMVUIWJCUQSHLZ,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0086,1-C-(indol-3-yl)glycerol 3-phosphate,3ig3p,C03506,CHEBI:60820,MNXM163633,444150,NQEQTYPJSIEPHW,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0116,1-pyrroline-3-hydroxy-5-carboxylic acid,1p3h5c,C04281,CHEBI:58509,MNXM114091,,WFOFKRKDDKGRIK,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
