scope,uniprot_id,status,source,target
benchmark,P0A7I7,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/Km/RCSB PDB/P0A7I7.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A7I7.pdb
benchmark,P0A817,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P0A817.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A817.pdb
benchmark,P0A825,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P0A825.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A825.pdb
benchmark,P0A840,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/AlphaFold/P0A840.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A840.pdb
benchmark,P0A853,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P0A853.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A853.pdb
benchmark,P0A867,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P0A867.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A867.pdb
benchmark,P0A870,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P0A870.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A870.pdb
benchmark,P0A8G3,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P0A8G3.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A8G3.pdb
benchmark,P0A8Y1,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/AlphaFold/P0A8Y1.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A8Y1.pdb
benchmark,P0A8Y3,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P0A8Y3.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A8Y3.pdb
benchmark,P0A8Y5,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P0A8Y5.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A8Y5.pdb
benchmark,P0A953,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P0A953.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A953.pdb
benchmark,P0A955,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P0A955.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A955.pdb
benchmark,P0A962,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P0A962.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A962.pdb
benchmark,P0A991,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/AlphaFold/P0A991.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A991.pdb
benchmark,P0A993,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P0A993.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A993.pdb
benchmark,P0A9B2,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P0A9B2.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A9B2.pdb
benchmark,P0A9B6,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P0A9B6.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A9B6.pdb
benchmark,P0A9C5,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/AlphaFold/P0A9C5.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A9C5.pdb
benchmark,P0A9C9,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/Km/RCSB PDB/P0A9C9.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A9C9.pdb
benchmark,P0A9D4,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P0A9D4.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A9D4.pdb
benchmark,P0A9H3,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P0A9H3.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A9H3.pdb
benchmark,P0A9H7,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/AlphaFold/P0A9H7.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A9H7.pdb
benchmark,P0A9J4,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P0A9J4.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A9J4.pdb
benchmark,P0A9J8,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/AlphaFold/P0A9J8.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A9J8.pdb
benchmark,P0A9M2,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P0A9M2.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A9M2.pdb
benchmark,P0A9M5,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/Km/RCSB PDB/P0A9M5.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A9M5.pdb
benchmark,P0A9M8,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/Km/AlphaFold/P0A9M8.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A9M8.pdb
benchmark,P0A9Q7,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P0A9Q7.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A9Q7.pdb
benchmark,P0A9Q9,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P0A9Q9.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A9Q9.pdb
benchmark,P0A9T0,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/Km/RCSB PDB/P0A9T0.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A9T0.pdb
benchmark,P0AAI5,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/Km/RCSB PDB/P0AAI5.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0AAI5.pdb
